Date,Open,High,Low,Close,Adj.close,Volume
29 Apr 2022,105.17,107.99,103.78,104.69,104.69,294386
28 Apr 2022,102.11,105.68,100.13,105.36,105.36,312064
27 Apr 2022,101.76,102.99,99.8,102.02,102.02,278781
26 Apr 2022,98.64,102.78,97.06,101.7,101.7,351850
25 Apr 2022,101.38,101.55,95.28,98.54,98.54,328153
22 Apr 2022,104.07,104.22,101.06,102.07,102.07,246116
21 Apr 2022,102.5,105.42,102.01,103.79,103.79,280321
20 Apr 2022,103.05,104.16,100.7,102.75,102.75,299028
19 Apr 2022,107.75,108.92,102.1,102.56,102.56,71792
18 Apr 2022,107.03,109.81,106,108.21,108.21,68489
14 Apr 2022,104.2,107.64,102.12,106.95,106.95,244952
13 Apr 2022,100.91,104.47,99.87,104.25,104.25,312502
12 Apr 2022,95.17,101.35,94.84,100.6,100.6,329037
11 Apr 2022,98.4,98.52,92.93,94.29,94.29,315873
08 Apr 2022,97.17,98.76,95.29,98.26,98.26,310082
07 Apr 2022,97.16,98.82,93.81,96.03,96.03,367318
06 Apr 2022,101.24,104.02,95.73,96.23,96.23,366036
05 Apr 2022,103.66,105.59,99.88,101.96,101.96,280283
04 Apr 2022,98.95,103.94,98.05,103.28,103.28,288131
01 Apr 2022,101.23,101.75,97.78,99.27,99.27,324777
31 Mar 2022,107.45,107.8,99.66,100.28,100.28,450845
30 Mar 2022,105.24,108.75,104.55,107.82,107.82,284544
29 Mar 2022,103.47,107.84,98.44,104.24,104.24,387200
28 Mar 2022,112.92,112.93,102.83,105.96,105.96,372251
25 Mar 2022,111.75,114.12,108.68,113.9,113.9,320304
24 Mar 2022,114.47,116.64,110.61,112.34,112.34,307238
23 Mar 2022,108.85,115.4,108.38,114.93,114.93,289182
22 Mar 2022,112.9,115.01,109.3,111.76,111.76,318629
21 Mar 2022,105.13,112.69,104.08,112.12,112.12,77217
18 Mar 2022,103.62,106.28,102.3,104.7,104.7,74247
17 Mar 2022,95.34,104.24,94.85,102.98,102.98,210763
16 Mar 2022,95.23,99.22,94.07,95.04,95.04,293947
